pointId,controlName,stateName,dtSeconds,peakAbsoluteError,rmsError,nonlinearPeak,linearPeak,peakTimeDifferenceSeconds,directionAgreement,status
B75_V080,aileron,theta,0.01,3.74970439698252e-08,1.35460680566618e-08,3.7497044053092e-08,8.32667268468867e-17,0.05,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,psi,0.01,4.46606396558701e-10,1.944578806349e-10,-1.65167394246876e-05,-1.65171860310842e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,u,0.01,2.45987047975404e-05,8.6078656845641e-06,-2.45987047975404e-05,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,v,0.01,8.6471487192874e-09,2.62275483415754e-09,0.0637207888987302,0.063720797545879,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,w,0.01,1.02503251202535e-05,3.48700415399325e-06,-1.02503251202535e-05,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,p,0.01,9.29295748425957e-11,3.2863056673048e-11,0.000736505792780629,0.000736505885710204,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,q,0.01,2.97194741330782e-07,1.25354294316165e-07,-2.97194741342233e-07,-1.14510428745394e-17,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,r,0.01,1.28379439023885e-10,5.08074832055263e-11,-0.00242135486913367,-0.00242135499751311,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,phi,0.01,9.34901814167791e-13,4.47604125685551e-13,7.40732448254301e-05,7.40732439132432e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,theta,0.01,3.02645661864887e-08,1.20976821562555e-08,-3.02645661864887e-08,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,psi,0.01,1.99654681893105e-11,6.96342426968035e-12,-0.000731064854316568,-0.000731064874282037,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,u,0.01,0.0105689832219156,0.00367137074303543,-0.0105689832219014,1.4210854715202e-14,0.16,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,v,0.01,0.000280948934774372,8.82799978789354e-05,1.14942760094351,1.14970854987828,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,w,0.01,0.0182384759221481,0.00638315126838496,0.018238475922141,-7.105427357601e-15,0.03,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,p,0.01,2.96046245409909e-06,1.99710080747613e-06,-0.0731385536680588,-0.0731376686706225,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,q,0.01,0.000507485325853102,0.000227209481163592,0.000507485325852811,-2.91396388808509e-16,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,r,0.01,5.86593139555169e-06,2.56017996857126e-06,-0.0613540063532413,-0.0613598722846369,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,phi,0.01,2.06712211983651e-06,8.45046695781847e-07,-0.0244970948961425,-0.0244991620182624,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,theta,0.01,0.000137864223800716,4.53085246507601e-05,-0.000137864223800771,-5.55111512312578e-17,0.09,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCollective,psi,0.01,1.75174783141954e-06,6.14239957980888e-07,-0.0188588276086233,-0.0188605793564547,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCyclic,u,0.01,0.000104408564283176,5.85878312805898e-05,0.000104408564297387,1.4210854715202e-14,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCyclic,v,0.01,1.05120512061902e-06,4.77144782644306e-07,0.0032634253716808,0.00326447657680142,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCyclic,w,0.01,2.18162758169882e-05,1.52321689747155e-05,-2.18162758205409e-05,-7.105427357601e-15,-0.16,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCyclic,p,0.01,1.77658703557423e-07,1.11393113045918e-07,-8.60607715575231e-06,-8.72069601993383e-06,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCyclic,q,0.01,3.4465876557507e-06,1.88176199530999e-06,3.44658765544122e-06,-3.13454621461293e-16,0.0599999999999999,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,diffCyclic,r,0.01,7.41077737862058e-08,4.6269065118699e-08,-0.000145353135277688,-0.000145427243051474,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
