pointId,modelKind,modeIndex,classification,classificationConfidence,dominantGroup,dominantGroupScore,secondGroupScore,longitudinalRigidBodyScore,lateralDirectionalRigidBodyScore,symmetricNacelleScore,differentialNacelleScore,actuatorRateScore,pathologicalEigenvectors,modeTrackingStatus
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,3,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.64384751533679e-24,1.64384751533679e-24,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,4,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.64384751533679e-24,1.64384751533679e-24,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,5,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,2.13267401767821e-24,1,2.13267401767821e-24,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,6,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,2.13267401767825e-24,1,2.13267401767825e-24,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,7,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,6.62905164996118e-19,6.62905164996118e-19,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,8,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,5.99610996137328e-23,1,5.99610996137328e-23,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,9,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,2.47799030782555e-19,1,2.47799030782555e-19,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,10,MIXED_OR_UNCERTAIN_MODE,LOW,SYMMETRIC_NACELLE,1,0,0,0,1,0,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,11,MIXED_OR_UNCERTAIN_MODE,LOW,SYMMETRIC_NACELLE,1,0,0,0,1,0,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,12,MIXED_OR_UNCERTAIN_MODE,LOW,DIFFERENTIAL_NACELLE,1,0,0,0,0,1,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
