alpha_deg,alpha_rad,Re,Mach,flap_deg,CL,CD,Cm,source,source_class,validity
-64.0,-1.117010721276371,600000.0,0.0,0.0,-0.57666962308736,1.4961491437583359,0.38579767845759994,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-63.0,-1.0995574287564276,600000.0,0.0,0.0,-0.5834118957875201,1.468959513085952,0.37715108536319997,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-62.0,-1.0821041362364843,600000.0,0.0,0.0,-0.5909688910924801,1.4384843424020481,0.36745965543680004,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-61.0,-1.064650843716541,600000.0,0.0,0.0,-0.59931921419264,1.4048099107696637,0.35675082634239996,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-60.0,-1.0471975511965976,600000.0,0.0,0.0,-0.6084315640000001,1.3680624463999997,0.34506474,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-59.0,-1.0297442586766545,600000.0,0.0,0.0,-0.6182655586713601,1.328404797556736,0.3324531838976,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-58.0,-1.0122909661567112,600000.0,0.0,0.0,-0.62877256113152,1.2860331034603516,0.31897853240319995,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-57.0,-0.9948376736367679,600000.0,0.0,0.0,-0.63989650459648,1.241173465192448,0.30471268807679996,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-56.0,-0.9773843811168246,600000.0,0.0,0.0,-0.65157471809664,1.1940786166000639,0.2897360229824,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-55.0,-0.9599310885968813,600000.0,0.0,0.0,-0.663738752,1.1450245951999998,0.27413632,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-54.0,-0.9424777960769379,600000.0,0.0,0.0,-0.67631520353536,1.094307413083136,0.2580077141376,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-53.0,-0.9250245035569946,600000.0,0.0,0.0,-0.6892265423155199,1.0422397278187518,0.24144963384319998,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-52.0,-0.9075712110370514,600000.0,0.0,0.0,-0.70239193586048,0.9891475133588479,0.2245657423168,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-51.0,-0.8901179185171081,600000.0,0.0,0.0,-0.7157280751206401,0.9353667309424639,0.2074628788224,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-50.0,-0.8726646259971648,600000.0,0.0,0.0,-0.72915,0.8812399999999999,0.19025,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-49.0,-0.8552113334772214,600000.0,0.0,0.0,-0.7425719248793601,0.827113269057536,0.1730371211776,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-48.0,-0.8377580409572782,600000.0,0.0,0.0,-0.7559080641395199,0.7733324866411522,0.15593425768320007,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-47.0,-0.8203047484373349,600000.0,0.0,0.0,-0.7690734576844801,0.7202402721812478,0.13905036615679991,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
