pointId,inputIndex,inputState,component,forceDerivativeDifferenceNorm,momentDerivativeDifferenceNorm,rollAccelerationDerivativeDifference,pitchAccelerationDerivativeDifference,yawAccelerationDerivativeDifference,angularAccelerationDerivativeDifferenceNorm,differenceStep,stencil
B75_V080,4,p,horizontalTail,5.55111512312578e-17,2.222884165576e-16,-8.18640632080007e-22,0,-5.00713887140025e-21,5.07361923699244e-21,0.001,CENTRAL_DIFFERENCE
B75_V080,4,p,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,5,q,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,5,q,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,5,q,wing,2.27373675443232e-10,1.83314517660132e-09,-1.03393314282171e-13,7.74816116899201e-15,-1.85974245102267e-15,1.03699903962041e-13,0.001,CENTRAL_DIFFERENCE
B75_V080,5,q,fuselage,0,1.45519152283669e-11,0,-4.95882314815488e-16,0,4.95882314815488e-16,0.001,CENTRAL_DIFFERENCE
B75_V080,5,q,horizontalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,5,q,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,6,r,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,6,r,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,6,r,wing,3.66764578573526e-09,913.230247357361,-0.0518745903872414,7.74816116899201e-15,-0.00213542677550826,0.051918524395033,0.001,CENTRAL_DIFFERENCE
B75_V080,6,r,fuselage,0,2.8421709430404e-14,1.61552053565892e-18,0,2.90584757972292e-20,1.61578185289702e-18,0.001,CENTRAL_DIFFERENCE
B75_V080,6,r,horizontalTail,0,4.44089209850063e-16,-2.52425083696705e-20,0,-4.54038684331706e-22,2.52465914515159e-20,0.001,CENTRAL_DIFFERENCE
B75_V080,6,r,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,7,phi,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,7,phi,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,7,phi,wing,3.63797880709171e-08,1.81898940354586e-08,-1.03393314282171e-12,0,-1.85974245102267e-14,1.03410038585409e-12,0.0001,CENTRAL_DIFFERENCE
B75_V080,7,phi,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,7,phi,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,7,phi,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,8,theta,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,8,theta,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,8,theta,wing,0,1.81898940354586e-08,1.03393314282171e-12,0,1.85974245102267e-14,1.03410038585409e-12,0.0001,CENTRAL_DIFFERENCE
B75_V080,8,theta,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,8,theta,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,8,theta,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,9,psi,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,9,psi,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,9,psi,wing,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,9,psi,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,9,psi,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,9,psi,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
