localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,timeConstantSeconds,doublingTimeSeconds,halvingTimeSeconds,dominantState,dominantStateParticipation,betaSymParticipation,betaDiffParticipation,rigidBodyParticipation,stable,pointId,betaMDeg,speedMps
5,spiral-like,0.0147103948646529,0,-1,0.0147103948646529,0,67.9791405465849,47.1195496067536,NaN,phi,0.907826758464007,0,0,1,0,B15_V030,15,30
6,short-period-like,-0.531493316486964,1.04141900123305,0.45457694529423,1.16920429421019,0.165746981876064,1.88149120408464,NaN,1.30415032335961,q,0.487278261554681,0,0,1,1,B15_V030,15,30
7,short-period-like,-0.531493316486964,-1.04141900123305,0.45457694529423,1.16920429421019,0.165746981876064,1.88149120408464,NaN,1.30415032335961,q,0.487278261554681,0,0,1,1,B15_V030,15,30
8,longitudinal aperiodic,-0.0402328631444697,0,1,0.0402328631444697,0,24.8553029002475,NaN,17.22838312727,u,0.66332891966784,0,0,1,1,B15_V030,15,30
9,longitudinal aperiodic,0.0697465239266821,0,-1,0.0697465239266821,0,14.3376320954892,9.93808926289409,NaN,theta,0.618196535903594,0,0,1,0,B15_V030,15,30
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B15_V030,15,30
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B15_V030,15,30
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B15_V030,15,30
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B15_V030,15,30
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0,B45_V025,45,25
2,roll-like,-1.8846316671546,0,1,1.8846316671546,0,0.530607660599162,NaN,0.367789203927817,p,0.828677431571258,0,0,1,1,B45_V025,45,25
3,dutch-roll-like,-0.0805374531093127,0.584320883987493,0.136540018138691,0.589845044750958,0.0929975570384354,12.4165833583378,NaN,8.60651974701936,v,0.491555205013478,0,0,1,1,B45_V025,45,25
4,dutch-roll-like,-0.0805374531093127,-0.584320883987493,0.136540018138691,0.589845044750958,0.0929975570384354,12.4165833583378,NaN,8.60651974701936,v,0.491555205013478,0,0,1,1,B45_V025,45,25
5,spiral-like,-0.0259420781257023,0,1,0.0259420781257023,0,38.5474130158155,NaN,26.7190306497923,phi,0.786031052119565,0,0,1,1,B45_V025,45,25
6,short-period-like,-0.380398421040885,0.698341124943148,0.478353013552001,0.795225304877341,0.111144441999057,2.62882268875801,NaN,1.82216103490463,w,0.437897925673953,0,0,1,1,B45_V025,45,25
